generation,best_distance_so_far,generation_best_distance,avg_distance,worst_distance,best_fitness,avg_fitness,worst_fitness,unique_pct,hamming_pct,no_improve
168,1689.9621913359083,1689.9621913359083,1713.9367465897644,2002.6150532983074,0.0005917292144917771,0.0005843663957176044,0.0004993470903721608,14.000000000000002,16.0625,52
169,1689.9621913359083,1689.9621913359083,1705.7881629423082,2046.824730709609,0.0005917292144917771,0.0005867640749329624,0.0004885616169261898,12.0,2.5,53
170,1689.9621913359083,1689.9621913359083,1706.7489559547187,1944.1421779313346,0.0005917292144917771,0.0005863318705296804,0.0005143656731237887,16.0,3.5937499999999996,54
171,1689.9621913359083,1689.9621913359083,1728.0628224260636,2052.796979441083,0.0005917292144917771,0.0005800609600856518,0.0004871402335521122,22.0,15.812499999999998,55
172,1689.9621913359083,1689.9621913359083,1715.2041339777925,2088.521599844569,0.0005917292144917771,0.000584096312468626,0.0004788075929281368,14.000000000000002,10.4375,56
173,1689.9621913359083,1689.9621913359083,1709.904523855829,2090.848101708814,0.0005917292144917771,0.0005856527530839536,0.0004782748202429038,12.0,9.875,57
174,1689.9621913359083,1689.9621913359083,1712.1566758687766,2037.1982037351324,0.0005917292144917771,0.0005848580375780594,0.0004908702541395011,13.0,7.906249999999999,58
175,1689.9621913359083,1689.9621913359083,1718.1924495232452,1978.2108775022164,0.0005917292144917771,0.0005828733431883304,0.0005055072800239817,20.0,8.5625,59
176,1689.9621913359083,1689.9621913359083,1724.4531786417665,2048.062461136989,0.0005917292144917771,0.0005810749989947897,0.00048826635855863797,22.0,18.1875,60
177,1689.9621913359083,1689.9621913359083,1727.993806608202,2032.4060821445485,0.0005917292144917771,0.0005799548921555247,0.0004920276556862212,24.0,15.375,61
178,1689.9621913359083,1689.9621913359083,1718.183040485342,2032.0886130298725,0.0005917292144917771,0.0005829473164076593,0.0004921045241767216,18.0,9.5,62
179,1689.9621913359083,1689.9621913359083,1709.733290101739,2011.9188799347799,0.0005917292144917771,0.0005855617958756217,0.0004970379322810552,14.000000000000002,9.34375,63
180,1689.9621913359083,1689.9621913359083,1729.8745074752653,2111.1916918821,0.0005917292144917771,0.0005794593758723442,0.0004736661307664169,23.0,19.15625,64
